Feature,IncNodePurity
c6027,0
c6032,0
c6037,0
c6039,0
c6042,0
c6045,0
c6047,0
c6050,0
c6056,0
c6059,0
c6063,0
c6065,0
c6067,0
c6069,0
c6070,0
c6073,0
c6075,0
c6076,0
c6091,0
c6100,0
c6103,0
c6105,0
c6106,0
c6109,0
c6110,0
c6116,0
c6117,0
c6118,0
c6134,0
c6135,0
c6154,0
c6159,0
c6164,0
c6166,0
c6168,0
c6169,0
c6173,0
c6174,0
c6175,0
c6176,0
c6181,0
c6183,0
c6186,0
c6187,0
c6192,0
c6195,0
c6198,0
c6199,0
c6200,0
c6201,0
c6202,0
c6204,0
c6208,0
c6212,0
c6216,0
c6219,0.041895799
c6220,0
c6224,0
c6231,0
c6232,0
c6234,0
c6237,1.202469783
c6239,0
c6244,0
c6245,0
c6247,0
c6250,0
c6262,0
c6268,0
c6282,0
c6290,0
c6293,0
c6296,0
c6297,0
c6299,0
c6300,0
c6302,0
c6307,0
c6310,0
c6313,0
c6314,0
c6315,0
c6317,0
c6319,0
c6325,0
c6331,0
c6339,0
c6340,0
c6347,0
c6352,0
c6353,0
c6365,0
c6368,0
c6371,0
c6372,0
c6376,0
c6380,0
c6393,0
c6399,0
c6401,0
c6402,0.025587206
c6403,0
c6404,0
c6408,0
c6417,0
c6418,0
c6422,0
c6426,0
c6432,0
c6442,0
c6447,0
c6448,0
c6452,0
c6457,0
c6458,0
c6461,0
c6462,0
c6464,0
c6465,0
c6468,0
c6476,0
c6480,0
c6481,0
c6483,0
c6487,0
c6488,0
c6499,0
c6504,0
c6506,0
c6509,0
c6510,0
c6513,0
c6514,0
c6517,0
c6518,0
c6520,0
c6523,0
c6524,0
c6528,0
c6529,0
c6532,0
c6535,0
c6546,0
c6549,0
c6551,0
c6552,0
c6558,0
c6564,0
c6570,0
c6585,0
c6586,0
c6596,0
c6604,0
c6608,0.2318855
c6615,0
c6624,0
c6625,0
c6632,0
c6636,0
c6638,0
c6641,0
c6642,0
c6648,0
c6649,0
c6658,0
c6673,0
c6677,1.981320016
c6696,0
c6697,0
c6699,0
c6701,0
c6703,0
c6709,0
c6726,0
c6734,0
c6735,0
c6739,0
c6744,0
c6755,0
c6767,0
c6768,0
c6773,0
c6775,0
c6778,0
c6785,0
c6791,0
c6798,0
c6800,0
c6802,0
c6806,0
c6809,0
c6810,0
c6811,0
c6817,0
c6820,0
c6826,0
c6827,0
c6837,0
c6842,0
c6844,0
c6854,0
c6855,0
c6862,0
c6871,0
c6878,0
c6885,0
c6886,0
c6888,0
c6889,0
c6891,0
c6892,0
c6893,0
c6897,0
c6907,0
c6908,0
c6912,0
c6928,0
c6929,0.218058282
c6939,0
c6940,0
c6942,0
c6946,0
c6950,0
c6955,0
c6962,0
c6969,0
c6972,0
c6975,0
c6983,0
c6990,0
c6991,0
c6995,0
c6998,0
c7002,0
c7003,0
c7004,0
c7017,0
c7018,0
c7032,0
c7033,0
c7034,0
c7035,0
c7036,0
c7039,0
c7041,0
c7046,0
c7048,0
c7055,0.616852318
c7056,0
c7057,0
c7073,0
c7077,0
c7087,0
c7088,0
c7092,0
c7093,0
c7097,0
c7099,0
c7100,0
c7101,0
c7103,0
c7111,0
c7123,0
c7125,0
c7126,0
c7133,0
c7149,0
c7150,0
c7155,0
c7156,0
c7157,0
c7159,0
c7164,0
c7168,0
c7169,0
c7170,0
c7171,0
c7172,0
c7175,0
c7178,0
c7181,0
c7183,0
c7190,0
c7192,0
c7194,0
c7196,0
c7199,0
c7200,0
c7201,0
c7205,0
c7211,0
c7215,0
c7221,0
c7242,0
c7245,0
c7247,0
c7248,0
c7250,0
c7253,0
c7254,0
c7255,0
c7258,0
c7267,0
c7272,0
c7283,0
c7287,0
c7288,0
c7292,0
c7293,0
c7294,0
c7298,0
