"","V1","V2"
"701","FAM223A","c701"
"702","GRAMD1C","c702"
"703","ZNF165","c703"
"704","USP38","c704"
"705","FAM83A","c705"
"706","ARMCX3","c706"
"707","ARHGDIB","c707"
"708","AK1","c708"
"709","ACSS3","c709"
"710","KIAA1045","c710"
"711","C4B","c711"
"712","DNAJB13","c712"
"713","MUC22","c713"
"714","NEU2","c714"
"715","TRIM77","c715"
"716","HIST1H4B","c716"
"717","FAM20B","c717"
"718","HES2","c718"
"719","FAM73B","c719"
"720","SNORD72","c720"
"721","CYP4F24P","c721"
"722","NEDD8-MDP1","c722"
"723","INTS7","c723"
"724","AMPH","c724"
"725","ZNF775","c725"
"726","SNORD61","c726"
"727","USP17L7","c727"
"728","UCKL1","c728"
"729","SNORA23","c729"
"730","HNRNPH1","c730"
"731","ALDH1L1","c731"
"732","COX16","c732"
"733","SLC23A1","c733"
"734","THAP4","c734"
"735","RBM4B","c735"
"736","OGFRL1","c736"
"737","KRTAP10-5","c737"
"738","PPP1R15A","c738"
"739","BMF","c739"
"740","MAN1A1","c740"
"741","RBMY1A1","c741"
"742","TGIF2LY","c742"
"743","NKAIN1","c743"
"744","SNORD109A","c744"
"745","NLGN4X","c745"
"746","LOC399715","c746"
"747","IFNE","c747"
"748","ALOX12","c748"
"749","RB1CC1","c749"
"750","NEIL2","c750"
"751","TMEM255B","c751"
"752","EIF4E","c752"
"753","SIGLEC15","c753"
"754","ABHD5","c754"
"755","EXOC4","c755"
"756","PRAMEF14","c756"
"757","HEATR5A","c757"
"758","SLC29A4","c758"
"759","BATF2","c759"
"760","HTR4","c760"
"761","GUSBP5","c761"
"762","URGCP","c762"
"763","EMB","c763"
"764","TRAF6","c764"
"765","LPAR3","c765"
"766","LMNB1","c766"
"767","CKMT1B","c767"
"768","SNORD9","c768"
"769","LINC00320","c769"
"770","FAM19A5","c770"
"771","SHE","c771"
"772","IFIT1B","c772"
"773","CACNA1C-AS4","c773"
"774","PIK3C2B","c774"
"775","LOC100144597","c775"
"776","RBM12B-AS1","c776"
"777","AKR1E2","c777"
"778","USP15","c778"
"779","MIR548Z","c779"
"780","TCEAL2","c780"
"781","PTGER2","c781"
"782","FAM184B","c782"
"783","SLC31A1","c783"
"784","LOC727915","c784"
"785","IFT172","c785"
"786","ST7L","c786"
"787","GFOD1","c787"
"788","ADAM29","c788"
"789","BET3L","c789"
"790","PKN3","c790"
"791","C15orf26","c791"
"792","NCOR1P1","c792"
"793","CNTD1","c793"
"794","COMMD1","c794"
"795","WASH7P","c795"
"796","OCM2","c796"
"797","NTRK2","c797"
"798","FOXN3","c798"
"799","MFGE8","c799"
"800","PFKFB2","c800"
"801","TAS2R4","c801"
"802","MIR1245A","c802"
"803","ENTHD1","c803"
"804","MIR765","c804"
"805","PRMT5","c805"
"806","OR5K4","c806"
